date,location,number,time of day
06/13/2021,Bắc Giang,33,Tối
06/13/2021,Bắc Ninh,16,Tối
06/13/2021,Hà Tĩnh,9,Tối
06/13/2021,Bình Dương,1,Tối
06/14/2021,TP. Hồ Chí Minh,30,Sáng
06/14/2021,Bắc Giang,23,Sáng
06/14/2021,Tiền Giang,14,Sáng
06/14/2021,Hà Tĩnh,10,Sáng
06/14/2021,Bắc Ninh,9,Sáng
06/14/2021,Bình Dương,4,Sáng
06/14/2021,Bắc Kạn,1,Sáng
06/14/2021,Bắc Giang,69,Trưa
06/14/2021,TP. Hồ Chí Minh,26,Trưa
06/14/2021,Hà Nội,4,Trưa
06/14/2021,Hà Tĩnh,1,Trưa
06/14/2021,TP. Hồ Chí Minh,4,Tối
06/14/2021,TP. Hồ Chí Minh,26,Tối
06/14/2021,Bắc Giang,29,Tối
06/14/2021,Bắc Ninh,8,Tối
06/14/2021,Hà Tĩnh,11,Tối
06/14/2021,Nghệ An,1,Tối
06/15/2021,Bắc Giang,28,Sáng
06/15/2021,TP. Hồ Chí Minh,23,Sáng
06/15/2021,Bắc Ninh,19,Sáng
06/15/2021,Bắc Giang,69,Trưa
06/15/2021,TP. Hồ Chí Minh,29,Trưa
06/15/2021,Bắc Ninh,15,Trưa
06/15/2021,Hà Tĩnh,3,Trưa
06/15/2021,Lạng Sơn,1,Trưa
06/15/2021,Hà Nội,1,Trưa
06/15/2021,Tây Ninh,2,Tối
06/15/2021,Bắc Giang,138,Tối
06/15/2021,TP. Hồ Chí Minh,38,Tối
06/15/2021,Bắc Ninh,21,Tối
06/15/2021,Bình Dương,12,Tối
06/15/2021,Lạng Sơn,1,Tối
06/16/2021,Bắc Giang,61,Sáng
06/16/2021,TP. Hồ Chí Minh,19,Sáng
06/16/2021,Bắc Ninh,9,Sáng
06/16/2021,Hà Tĩnh,2,Sáng
06/16/2021,Bắc Giang,128,Trưa
06/16/2021,TP. Hồ Chí Minh,35,Trưa
06/16/2021,Bắc Ninh,8,Trưa
06/16/2021,Hà Tĩnh,2,Trưa
06/16/2021,Nghệ An,1,Trưa
06/16/2021,Tây Ninh,2,Tối
06/16/2021,Kiên Giang,2,Tối
06/16/2021,Quảng Nam,1,Tối
06/16/2021,Khánh Hòa,1,Tối
06/16/2021,Bắc Giang,90,Tối
06/16/2021,TP. Hồ Chí Minh,45,Tối
06/16/2021,Bắc Ninh,10,Tối
06/16/2021,Nghệ An,2,Tối
06/16/2021,Hà Nam,1,Tối
06/16/2021,Bắc Kạn,1,Tối
06/17/2021,Bắc Giang,87,Sáng
06/17/2021,TP. Hồ Chí Minh,45,Sáng
06/17/2021,Tiền Giang,11,Sáng
06/17/2021,Bình Dương,7,Sáng
06/17/2021,Bắc Ninh,6,Sáng
06/17/2021,Lạng Sơn,1,Sáng
06/17/2021,Hà Tĩnh,1,Sáng
06/17/2021,Hà Nội,4,Trưa
06/17/2021,Quảng Nam,2,Trưa
06/17/2021,Kiên Giang,1,Trưa
06/17/2021,Hòa Bình,1,Trưa
06/17/2021,Bắc Giang,178,Trưa
06/17/2021,Hồ Chí Minh,30,Trưa
06/17/2021,Tiền Giang,2,Trưa
06/17/2021,Hà Tĩnh,1,Trưa
06/17/2021,Nghệ An,1,Trưa
06/17/2021,Bắc Giang,62,Tối
06/17/2021,TP. Hồ Chí Minh,62,Tối
06/17/2021,Bắc Ninh,6,Tối
06/17/2021,Hà Tĩnh,2,Tối
06/17/2021,Lạng Sơn,1,Tối
06/18/2021,Đồng Tháp,1,Trưa
06/18/2021,Thái Nguyên,1,Trưa
06/18/2021,TP. Hồ Chí Minh,59,Trưa
06/18/2021,Bắc Giang,36,Trưa
06/18/2021,Bình Dương,12,Trưa
06/18/2021,Bắc Ninh,10,Trưa
06/18/2021,Hòa Bình,1,Trưa
06/18/2021,Lào Cai,1,Trưa
06/18/2021,Tây Ninh,2,Tối
06/18/2021,Quảng Nam,1,Tối
06/18/2021,TP. Hồ Chí Minh,30,Tối
06/18/2021,Bắc Giang,19,Tối
06/18/2021,Bắc Ninh,6,Tối
06/18/2021,Hà Tĩnh,3,Tối
06/18/2021,Hòa Bình,1,Tối
06/19/2021,TP. Hồ Chí Minh,40,Sáng
06/19/2021,Bắc Ninh,15,Sáng
06/19/2021,Nghệ An,13,Sáng
06/19/2021,Bình Dương,12,Sáng
06/19/2021,Bắc Giang,9,Sáng
06/19/2021,Tiền Giang,3,Sáng
06/19/2021,Hà Tĩnh,1,Sáng
06/19/2021,Đà Nẵng,1,Sáng
06/19/2021,Thanh Hóa,1,Trưa
06/19/2021,Hà Nam,1,Trưa
06/19/2021,Tây Ninh,1,Trưa
06/19/2021,TP. Hồ Chí Minh,64,Trưa
06/19/2021,Bắc Giang,22,Trưa
06/19/2021,Bắc Ninh,14,Trưa
06/19/2021,Long An,3,Trưa
06/19/2021,Hòa Bình,2,Trưa
06/19/2021,Nghệ An,2,Trưa
06/19/2021,Ninh Bình,8,Tối
06/19/2021,Đà Nẵng,2,Tối
06/19/2021,An Giang,1,Tối
06/19/2021,Quảng Nam,1,Tối
06/19/2021,TP. Hồ Chí Minh,31,Tối
06/19/2021,Bắc Giang,18,Tối
06/19/2021,Bình Dương,18,Tối
06/19/2021,Bắc Ninh,7,Tối
06/19/2021,Đà Nẵng,5,Tối
06/19/2021,Long An,3,Tối
06/19/2021,Lạng Sơn,2,Tối
06/19/2021,Đồng Nai,2,Tối
06/19/2021,Hà Tĩnh,2,Tối
06/19/2021,Nghệ An,1,Tối
06/19/2021,Nam Định,1,Tối
06/20/2021,TP. Hồ Chí Minh,46,Sáng
06/20/2021,Bắc Giang,20,Sáng
06/20/2021,Bắc Ninh,7,Sáng
06/20/2021,Nghệ An,3,Sáng
06/20/2021,Tây Ninh,4,Trưa
06/20/2021,Thái Bình,2,Trưa
06/20/2021,Kiên Giang,2,Trưa
06/20/2021,Bình Dương,1,Trưa
06/20/2021,Bắc Giang,53,Trưa
06/20/2021,TP. Hồ Chí Minh,34,Trưa
06/20/2021,Đà Nẵng,18,Trưa
06/20/2021,Bình Dương,13,Trưa
06/20/2021,Bắc Ninh,9,Trưa
06/20/2021,Hà Tĩnh,1,Trưa
06/20/2021,Quảng Nam,1,Trưa
06/20/2021,TP. Hồ Chí Minh,57,Tối
06/20/2021,Bắc Giang,23,Tối
06/20/2021,Đà Nẵng,9,Tối
06/20/2021,Bắc Ninh,3,Tối
06/20/2021,Nghệ An,2,Tối
