date,location,number,time of day
06/30/2021,Bắc Giang,8,Trưa
06/30/2021,Bắc Ninh,5,Trưa
06/30/2021,Phú Yên,2,Trưa
06/30/2021,Long An,1,Trưa
06/30/2021,Bình Định,1,Trưa
06/30/2021,Hải Phòng,1,Trưa
06/30/2021,Bắc Kạn,1,Trưa
06/30/2021,TP. Hồ Chí Minh,124,Tối
06/30/2021,Bình Dương,57,Tối
06/30/2021,Đồng Nai,12,Tối
06/30/2021,Quảng Ngãi,10,Tối
06/30/2021,Bà Rịa - Vũng Tàu,6,Tối
06/30/2021,Đồng Tháp,5,Tối
06/30/2021,Nghệ An,4,Tối
06/30/2021,An Giang,4,Tối
06/30/2021,Phú Yên,4,Tối
06/30/2021,Bắc Ninh,3,Tối
06/30/2021,Đà Nẵng,2,Tối
06/30/2021,Bắc Giang,2,Tối
